"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"4.7uF","desc","C3,","C_0603","libref","2","1","","",
"10uF","desc","C10,","C_1206","libref","2","1","","",
"0.1uF","desc","C11,C12,C13,","C_0603","libref","2","3","","",
"2.2nF","desc","C14,","C_0603","libref","2","1","","",
"LED","desc","D1,","LED_0603","libref","2","1","","",
"4.7K","desc","R1,R2,R4,R5,","R_0603","libref","2","4","","",
"SPX3819M5-L-3-3","desc","U1,","SOT-23-5","libref","5","1","","",
"MPU-6050","desc","U2,","QFN-24_4X4X05P","libref","25","1","","",
"Through Hole Items ",
"JACK8","desc","JP1,","DIP-1.5Hole-2.54mm-Pitch-8P","libref","8","1","","",
